URL Source,News Title,News Date,News Image,News Study Time
https://www.zoomit.ir/search/news/,ET News: سامسونگ در سال ۲۰۲۱ چهار مدل گوشی هوشمند تاشدنی عرضه خواهد کرد,24 آذر 99,https://api2.zoomit.ir/media/2020-12-samsung-galaxy-z-fold-2-down-port-usb-type-c-638bb2c3b90c494dc77f3257?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,فیس‌بوک با همکاری آکیولس از ویدیو‌های ۳۶۰ درجه در News feed رونمایی کرد,2 مهر 94,https://api2.zoomit.ir/media/ex-Cover-d9a379009b47ab3023e13c66ed48b703_XL-638b2e8f027938d4599802a3?w=1920&q=75,مطالعه '3
https://www.zoomit.ir/search/news/,واکنش فلیپ‌ بورد به نیوز اپل؛ همه قابلیت‌ های معرفی شده در News را از ۵ سال پیش داریم,23 خرداد 94,https://api2.zoomit.ir/media/ex-Cover-eab7af44934117af7eece5a953b31d4f_XL-638b2c852806e1a2050cab35?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,به اپلیکیشن News و Stocks اپل تبلیغات اضافه می‌شود؛ احتمالا از نوع کلیک‌بیت,27 تیر 03,https://api2.zoomit.ir/media/apple-news-app-669784cff333f0476e25d327?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,گوگل با «نیوز شوکیس» باکیفیت‌ترین اخبار را به اطلاع کاربران می‌رساند,13 مهر 99,https://api2.zoomit.ir/media/2020-10-newspapers-top-each-other-outdoor-closeup-638c6466a77666af5aeeff53?w=1920&q=75,مطالعه '3
https://www.zoomit.ir/search/news/,زوم‌اَپ: Google News & Weather، ویترینی از گزیده‌ی اخبار و وضعیت آب و هوا,16 مهر 93,https://api2.zoomit.ir/media/ex-Cover-ee7a9996f5f9a35626239c9c543f5fbd_XL-638b2856027938d45997a015?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,نیک دی آلویسو توسعه دهنده‌ی ۲۰ ساله‌ی News Digest، یاهو را به منظور ادامه تحصیل ترک کرد,10 آبان 94,https://api2.zoomit.ir/media/ex-Cover-2c364df05077bcf04a4c5d2b574716e9_XL-638b376c9928908c2e7c309c?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,اپلیکیشن Play Newsstand با زبان متریال گوگل باز طراحی شد,12 مهر 93,https://api2.zoomit.ir/media/ex-Cover-8849cf0eae261b93ba72b4a5827c8f40_XL-638b28505a465cc61355678c?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,گوگل رسما اپلیکیشن Newsstand را جایگزین Google Currents کرد,1 اسفند 92,https://api2.zoomit.ir/media/ex-Cover-539d4e4b630f200ff09ca13c29fec7e1_XL-638b255a027938d459976ba5?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,استفاده از Newsstand به عنوان فولدر در iOS,7 بهمن 91,https://api2.zoomit.ir/media/ex-Cover-8f878ea0803189dcd4867928ffaf1eb9_XL-638b22a9027938d459972f28?w=1920&q=75,مطالعه '3
